dataset,graphType,promptTitle,xCategory_1,xCategory_2,yCategory,prompt,taskCategory,questionCategory,description,questionType,corrFilename,filenameArray,graphPNG,,xCategory_1,xCategory_2,corrAns,x1_facetF,x1_facetT,x2_facetF,x2_facetT,promptCategory_1,promptCategory_2,prompt_1,prompt_2
flights,barchart,New York City Flights,origin,carrier,distance,"On average, what is the distance that American Airlines travels when departing from JFK?",retrieve_value,1,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT2xCAT1,origin,carrier,1446.2,F,T,F,T,T,T,origin,carrier
flights,barchart,New York City Flights,origin,carrier,distance,"On average, what is the distance traveled by flights departing from JFK?",retrieve_value,2,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT1,origin,carrier,1202.19,*,T,F,T,T,F,origin,NA
flights,barchart,New York City Flights,origin,carrier,distance,"On average, how much further do airlines travel when departing from Newark compared to JFK?",make_comparisons,3,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT1,origin,carrier,131.48,*,T,F,T,T,F,origin,NA
flights,barchart,New York City Flights,origin,carrier,distance,"On average, how much further do American Airline flights departing from JFK travel compared to when they are departing from LaGuardia?",make_comparisons,4,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT1xCAT2,origin,carrier,300.64,F,*,F,T,T,T,origin,carrier
flights,barchart,New York City Flights,origin,carrier,distance,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,determine_range,5,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT2,origin,carrier,663.54,F,T,*,T,F,T,NA,carrier
flights,barchart,New York City Flights,origin,carrier,distance,"Within flights departing from JFK, how much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?",determine_range,6,"This data visualization is intended to show information about: <b> distances that different airline carriers travel when departing from different NYC Tri-State airports</b>. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",numerical,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,"flights_x1origin_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetnone_reorderalph_colorrainbow.png,flights_x1carrier_facetnone_reorderlarge_to_small_colorrainbow.png,flights_x1carrier_facetorigin_reorderalph_colorrainbow.png,flights_x1carrier_facetorigin_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetcarrier_reorderalph_colorrainbow.png,flights_x1origin_facetcarrier_reorderlarge_to_small_colorrainbow.png,flights_x1origin_facetnone_reorderalph_colorrainbow.png",,CAT2xCAT1,origin,carrier,667.6,F,*,F,T,T,T,origin,carrier
movies,barchart,Movie ratings ,movie genre,decade,rating,"On average, what is the rating of 1990s movies within the Action genre?",retrieve_value,1,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,movie genre,decade,4.45,F,T,F,T,T,T,movie,decade
movies,barchart,Movie ratings ,movie genre,decade,rating,"On average, what is the rating of Action movies?",retrieve_value,2,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,movie genre,decade,4.87,*,T,F,T,T,F,movie,NA
movies,barchart,Movie ratings ,movie genre,decade,rating,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",make_comparisons,3,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,movie genre,decade,0.33,*,T,F,T,T,F,movie,NA
movies,barchart,Movie ratings ,movie genre,decade,rating,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",make_comparisons,4,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1xCAT2,movie genre,decade,1.12,F,*,F,T,T,T,movie,decade
